size,question_id,needle_depth_tokens,expected,in_slice,verdict,correct,verbose_but_correct,answer
16k,1,448,answerable,True,correct,True,False,"1,400 research papers"
16k,2,13430,answerable,True,correct,True,False,"2,048K tokens, in two stages"
16k,3,12739,answerable,True,correct,True,False,Approximately 20%
16k,4,35012,not_found,False,correct,True,False,NOT FOUND
16k,5,4456,answerable,True,correct,True,False,"Retrieval-Augmented Generation, Memory Systems, Tool-Integrated Reasoning, and Multi-Agent Systems"
16k,6,146075,not_found,False,correct,True,False,NOT FOUND
16k,7,145389,not_found,False,correct,True,False,NOT FOUND
16k,8,168043,not_found,False,correct,True,False,NOT FOUND
16k,9,166307,not_found,False,correct,True,False,NOT FOUND
16k,10,179100,not_found,False,correct,True,False,NOT FOUND
16k,11,185176,not_found,False,correct,True,False,NOT FOUND
16k,12,209025,not_found,False,correct,True,False,NOT FOUND
16k,13,208173,not_found,False,correct,True,False,NOT FOUND
16k,14,208625,not_found,False,correct,True,False,NOT FOUND
16k,15,244437,not_found,False,correct,True,False,NOT FOUND
16k,16,269547,not_found,False,correct,True,False,NOT FOUND
16k,17,327324,not_found,False,correct,True,False,NOT FOUND
16k,18,,not_found,False,correct,True,False,NOT FOUND
16k,19,,not_found,False,correct,True,False,NOT FOUND
16k,20,,not_found,False,correct,True,False,NOT FOUND
32k,1,448,answerable,True,correct,True,False,"Over 1,400 research papers"
32k,2,13430,answerable,True,correct,True,False,"2,048K tokens, in two stages"
32k,3,12739,answerable,True,correct,True,False,Approximately 20%
32k,4,35012,not_found,False,correct,True,False,NOT FOUND
32k,5,4456,answerable,True,correct,True,False,Retrieval-Augmented Generation; Memory Systems; Tool-Integrated Reasoning; Multi-Agent Systems
32k,6,146075,not_found,False,correct,True,False,NOT FOUND
32k,7,145389,not_found,False,correct,True,False,NOT FOUND
32k,8,168043,not_found,False,correct,True,False,NOT FOUND
32k,9,166307,not_found,False,correct,True,False,NOT FOUND
32k,10,179100,not_found,False,correct,True,False,NOT FOUND
32k,11,185176,not_found,False,correct,True,False,NOT FOUND
32k,12,209025,not_found,False,correct,True,False,NOT FOUND
32k,13,208173,not_found,False,correct,True,False,NOT FOUND
32k,14,208625,not_found,False,correct,True,False,NOT FOUND
32k,15,244437,not_found,False,correct,True,False,NOT FOUND
32k,16,269547,not_found,False,correct,True,False,NOT FOUND
32k,17,327324,not_found,False,correct,True,False,NOT FOUND
32k,18,,not_found,False,correct,True,False,NOT FOUND
32k,19,,not_found,False,correct,True,False,NOT FOUND
32k,20,,not_found,False,correct,True,False,NOT FOUND
64k,1,448,answerable,True,correct,True,False,"Over 1,400 research papers"
64k,2,13430,answerable,True,correct,True,False,"2,048K tokens, in two stages"
